post_id,topic,topic_name,probability_score,label,text,engagement
285908,30,Economy,1,1,"I’ll never understand why people would rather pay MORE taxpayer money on criminalizing and dehumanizing poverty than vote for empathetic policies like universal healthcare, right to housing, food programs, UBI, universal preschool/college, expanded social security, so on and so on",55
58229368,1,Movies/TV,1,0,"In a way it's reassuring that no mogul has said, ""People love disaster pics, they love stories about organized labor, they love costume dramas, & there's a market for women-centered media- let's make a movie about the Triangle Shirtwaist Fire!""",14
38232751,22,Climate/Energy,1,1,"""The American oil lobby has launched an eight-figure media campaign this week promoting the idea that fossil fuels are 'vital' to global energy security...

The ad blitz... comes after US oil production reached a record high in 2023, which was also the hottest year ever recorded.""",10
35863433,1,Movies/TV,1,0,"Saw Mission Impossible tonight and in the middle of it my sister texted me to let me now that someone we went to high school with is wanted by the FBI for fleeing the country after being caught running a romance scam in Georgia? The movie was good, but a little long in places.",14
6777452,1,Movies/TV,1,0,"There will never be a larger, more extreme generational divide than those of us who remember the greasing scene in The Singing Detective, and those who remember Michael Gambon primarily as Dumbledore.",24
9133451,1,Movies/TV,1,0,"Day 19
Fright Film Fest 2023

PSYCHO

In Alfred Hitchcock's terrifying masterpiece, fugitive Marion Crane stops for the night at the rickety Bates Motel and meets an unsettling proprietor.
Starring Anthony Perkins, Janet Leigh, Vera Miles

1960 1hr 48min",10
19238971,1,Movies/TV,1,0,"I just watched American Graffiti, a 1973 movie that was made as a nostalgic look back at a different era, recreating that time period’s totally distinct music, fashions, hair, and attitudes. 

It takes place in 1962. Eleven years earlier. It’s like if a movie today took place in 2012.",56
24206645,1,Movies/TV,1,0,"i hated barbie when i was a kid. didn't like dolls in general.

but i'm 100% behind the barbie movie 

because everything i've heard about it is fckin great. & it's making people happy.

even though it hurts my eyes 
so much bright pink it burns
my eyes my eyes",23
90193582,21,Sports,1,0,I got a bit tearful seeing the Spain raise the World Cup. I may have been the same if it was the English mind. It’s amazing to see how much female sport has progressed when we weren’t even allowed to play football in Bassaleg. Or Rugby.,17
138387656,1,Movies/TV,1,1,"A lot of the Barbie discourse is just ""it's not recuperation by a toy commercial, it's the most important piece of cinema I've seen in my life and that's why I care about awards for this specifically"".",16
199474548,21,Sports,1,1,"instead of the lottery, states should run contests where you can be signed to a five-year contract as the head coach of the state's largest public college football program, fully vested, and then immediately fired",12
82396116,6,Music,1,1,"the most transgressive, catchy piece of music you've ever heard, the one that defined what it meant to be alive at this very moment in time, will one day be used to sell fabric softener and there's nothing you can do about it",21
19303652,65,Mental Health,1,0,"Friday is EKG and blood test time. I'm totally scared. Not that I have something wrong. But it's for the ADHD medication and if I have something wrong, I won't get the meds. And I have so high hopes that 2024 will be better if I finally get treatment.",12
13486038,50,Politics,1,1,"The thing is, in Biden's case, whatever competence is lost to age will be made up for by the people around him, who do most of the work anyway, whereas in the other case, the worse it gets, the more he'll demand it be amplified.",34
11647988,1,Movies/TV,1,1,"realizing why Barbie and The Lego Movie both had to go metaphysical with their premises, honestly no other way to make an impactful movie about a toy without digging into the why of us playing with the toy, the emotions therein, etc.",10
46019673,30,Economy,1,1,"""The economy is fragile, we are going to forego doing literally the most important function of government - looking after the most vulnerable - so that landlords can have more $$ in their back pocket.""",62
11160294,30,Economy,1,1,"““We’re going to see lower federal, state and institutional aid across the board because the formula isn’t going to keep up with the inflationary impact on income and costs over time,” said Bryce McKibben, the senior director of policy and advocacy at the Hope Center at Temple University.”",33
85557795,30,Economy,1,1,"The profit motive is a perverse incentive in any society that wants to achieve things because, at its heart, any person who derives wealth from resolving a social problem only has enough incentive to resolve it in part and perpetuate it elsewhere.",19
21989176,22,Climate/Energy,1,1,"Crisis in Catania in Sicily. The city is surrounded by wildfires, the air is choked with smog so it’s almost unbreathable, there’s been no water or power for three days…and the temperature is 122F (50C). 

The climate crisis needs to become every country’s top priority.",24
20163306,37,Video Games,1,1,"Seeing all of these good game devs get fired for creating a successful product is so infuriating, literally the only thing that will fix this is the incredibly painful and agonizing path of unionizing, and ALL game devs in the industry have to do it.",14
23488976,1,Movies/TV,1,0,"There’s not a lot in horror movies where I have to actually cover my face like a cartoon character, but then there’s eye stuff. 
This is also why I never for a moment considered lasik. I’d rather wear glasses forever than spend 10 seconds watching a scalpel approach my eye.",11
